Owner,Collection City,Collection City Geocoordinates,Binder,Number,Composer,Nationality,Title,Opera,Pub. City,Pub. State,Pub. Country,Pub. Coordinates,Publisher,Date,Publication decade,Subject,Has t.p.?,Illustration?
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,16,"Purday, Charles H. (Charles Henry)",English,Maid of Llanwellyn : I've no sheep on the mounain : a ballad,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1830,Songs with piano,0,0
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,17,"Marliani, Marco Aurelio",Italian,"Oh! Queen of glory : the much admired prayer, sung by Miss Shirreff in the opera of The red mask or Council of three",,New York,New York,United States,"40.7142700, -74.0059700",Dubois & Bacon,,1830,Songs with piano,0,0
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,18,"Helstig, Herr",,My beautiful Rhine : a celebrated Swiss ballad from the opera of The spirit of the Rhine,,New York,New York,United States,"40.7142700, -74.0059700",Atwill,,1830,Songs with piano,1,1
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,19,"Auber, D. F. E. (Daniel Francois Esprit)",French,Come o'er the moonlit sea : duetts,Muette de Portici,New York,New York,United States,"40.7142700, -74.0059700",James L. Hewitt,,1830,Vocal duets with piano,1,0
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,20,"Barnett, John",English,My father land,,New York,New York,United States,"40.7142700, -74.0059700",James L. Hewitt,,1830,Songs with piano,0,0
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,21,"Stockhausen, Franz",German,Swiss drover boy : as sung by Miss Watson at the Musical Fund Hall,,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900",George Willig,,1830,Songs with piano,0,0
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,22,"Lee, Alexander",English,"Star of my pathway, arise? : ballad",,New York,New York,United States,"40.7142700, -74.0059700",Monson Bancroft,,1830,Songs with piano,1,1
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,23,"Horn, Charles Edward",English,Mermaid's cave,,New York,New York,United States,"40.7142700, -74.0059700",Dubois & Stodart,1832,1830,Songs with piano,1,0
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,24,"Kiallmark, George",English,Maid of Athens,,Baltimore,Maryland,United States,"39.2903800, -76.6121900",George Willig,,1830,Songs with piano,0,0
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,25,"Millard, Philip, Mrs.",English,Lovely May : a ballad,,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900",Klemm & Brother,,1830,Songs with piano,0,0
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,26,"Lee, Alexander",English,"By the margin of fair Zurich's waters : the much admired song A la suisse as sung by Miss Watson at Niblo's Garden Concerts, &c. with the most enthusiastic applause",,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,1835,1830,Songs with piano,0,0
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,27,"Hodson, G. A. (George Alexander)",English,Why hast thou taught me to love thee,,New York,New York,United States,"40.7142700, -74.0059700",E.S. Mesier,,1830,Songs with piano,0,0
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,28,"Kiallmark, George",English,Araby's daughter,,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900",John G. Klemm,,1830,Songs with piano,0,0
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,29,"Lee, Alexander",English,"Away, away, to the mountain's brow",,New York,New York,United States,"40.7142700, -74.0059700",Hewitt,,1830,Songs with piano,0,0
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,30,"Barnett, John",English,Rose of Lucerne : the Swiss toy girl,,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900",John G. Klemm,,1830,Songs with piano,0,1
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,31,"Bishop, Henry R. (Henry Rowley)",English,Boys of Switzerland : ballad in the dramatic romance of The wandering boys,,New York,New York,United States,"40.7142700, -74.0059700",E. Riley,,1830,Songs with piano,0,0
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,32,"Barnett, John",English,Joy! Joy! Joy! : the celebrated song from the Lays of the passions,,New York,New York,United States,"40.7142700, -74.0059700",Dubois & Stodart,,1830,Songs with piano,0,0
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,33,"Kinkel, Charles",German immigrant,Angel of night : valse sentimentale,,New York,New York,United States,"40.7142700, -74.0059700",J.L. Peters,,1830,Waltzes (Piano),0,0
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,34,"Moore, Thomas",Irish,Watchman,,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900",John G. Klemm,,1830,Songs with piano,0,0
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,35,"Stevenson, John",Irish,I'll watch for thee from my lonely bow'r,,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900",John G. Klemm,,1830,Songs with piano,0,0
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,36,"Stevenson, John",Irish,Twilight dews : a favorite song,,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900",John G. Klemm,,1830,Songs with piano,0,0
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,37,"Mozart, Wolfgang Amadeus",Austrian,Life let us cherish,,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900",John G. Klemm,,1830,Songs with piano,0,0
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,38,"G. F. C., Mr.",,Campbells are comin : a popular Scotch air sung by Miss Stephens,,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900",John G. Klemm,,1830,Songs with piano,0,0
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,39,,,Scots wha hae wi' Wallace bled : a favorite Scotch air,,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900",John G. Klemm,,1830,Songs with piano,0,0
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,40,"Bayly, Thomas Haynes",English,We met!,,Baltimore,Maryland,United States,"39.2903800, -76.6121900",George Willig,,1830,Songs with piano,0,0
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,41,"Wade, J. Augustine (Joseph Augustine)",Irish,Meet me by moonlight : a ballad,,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900",John G. Klemm,,1830,Songs with piano,0,0
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,42,"Drake, James G.",,Pensez à moi,,Baltimore,Maryland,United States,"39.2903800, -76.6121900",George Willig,,1830,Songs with piano,0,0
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,43,"Mozart, Wolfgang Amadeus",Austrian,Much admired waltz,,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900",John G. Klemm,,1830,Songs with piano,0,0
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,44,"Valentine, Thomas",,Favorite Venetian waltz,,New York,New York,United States,"40.7142700, -74.0059700",Dubois & Bacon,,1830,Waltzes (Piano),0,0
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,45,"Auber, D. F. E. (Daniel Francois Esprit)",French,"Favorite sett of quadrilles : from Auber's celebrated opera Le dieu & la bayadére, danced by Melle. Celeste",Dieu et la Bayadere,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900","Fiot, Meignen & Co.",,1830,Piano music,1,0
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,46,"Parker, Jane W.",,Boquet : an entire new sett of cottilions,,New York,New York,United States,"40.7142700, -74.0059700",James L. Hewitt,,1830,Piano music,1,0
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,47,"Zimmerman, Chr.",,Silesia march,,New York,New York,United States,"40.7142700, -74.0059700",Atwill,,1830,Marches (Piano),0,0
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,48,"Bellini, Vincenzo",Italian,March in Bellini's opera I puritani,Puritani,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900","Fiot, Meignen & Co.",,1830,Piano music,0,0
Amelia Nance,New Orleans,"29.9546500, -90.0750700",LOC M1 .A15 v.1,49,"Duvernoy, J. B. (Jean Baptiste)",French,Swiss air with variations : for the piano forte : op. 34,,New York,New York,United States,"40.7142700, -74.0059700",Dubois & Stodart,,1830,Songs with piano,1,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,1,"Auber, D. F. E. (Daniel Francois Esprit)",French,"Admired sett of cotillions from the opera of La dame blanche, or The white lady",Dame blanche,New York,New York,United States,"40.7142700, -74.0059700",E. Riley,,1830,Piano music,1,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,2,,,Durang's hornpipe : arranged for the piano forte,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,3,,,Cheat : dance.,,New York,New York,United States,"40.7142700, -74.0059700",E. Riley,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,4,,,Money musk : a Scotch reel,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,5,"Beethoven, Ludwig van",German,Bouquet : a favorite waltz,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,6,"Blondell, William",French immigrant,Sorriso : waltz : composed and dedicated to Mrs. Mary L. Stevens,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,7,"Bochsa, Robert Nicolas Charles",French,Cracovienne,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1830,Piano music,1,1
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,8,"Coppock, W. R. (William R.)",American,Grand military waltz,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,9,,,Favorite German serenading waltz,,New York,New York,United States,"40.7142700, -74.0059700",William Dubois,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,10,,,New York admired cotillions,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,11,"Brown, Francis H. (Francis Henry)",American,Take your time Miss Lucy : a favorite dance,,New York,New York,United States,"40.7142700, -74.0059700",James L. Hewitt,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,12,"O'Meara, Daniel A.",,Celebrated one finger'd sliding waltz,,New York,New York,United States,"40.7142700, -74.0059700",E. Riley,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,13,"Shaw, Oliver",American,Oakland waltz,,Providence,Rhode Island,United States,"41.8239900, -71.4128300",Oliver Shaw,1834,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,14,,,Remembrance of Mozart : favourite waltz as performed at the Park Theatre,,New York,New York,United States,"40.7142700, -74.0059700",Hewitt,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,15,,,Favorite Swiss waltz,,New York,New York,United States,"40.7142700, -74.0059700",William Dubois,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,16,"Pratt, M.",,Celebrated River waltz,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,17,,,Rossignol : a favorite waltz for the piano forte,,New York,New York,United States,"40.7142700, -74.0059700",Dubois & Stodart,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,18,"Cooper, Samuel A.",American,Light guard's quick step,,Boston,Massachusetts,United States,"42.3584300, -71.0597700",H. Goodwin,1840,1830,Piano music,1,1
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,19,"Fay, Conrad",,Wrecker's daughter,,Boston,Massachusetts,United States,"42.3584300, -71.0597700",Henry Prentiss,1842,1830,Piano music,1,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,20,"Bellini, Vincenzo",Italian,Somnambula : quick step : as played by the Boston Brass Band,Sonnambula,Boston,Massachusetts,United States,"42.3584300, -71.0597700",Oliver Ditson,1836,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,21,"Zeuner, Charles",German immigrant,Boston quick step,,Boston,Massachusetts,United States,"42.3584300, -71.0597700",Oliver Ditson,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,22,"Kotzwara, Franz",Czech,March and quick step in the Battle of Prague,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,23,"Hews, George",American,Websters quick step,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,24,,,Capt. Patridge's favorite quick step,,New York,New York,United States,"40.7142700, -74.0059700",E. Riley,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,25,,,Otis's quick step : as performed by the Boston bands,,Boston,Massachusetts,United States,"42.3584300, -71.0597700",C. Bradlee,1831,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,26,"Holloway, John",,Wood up : a celebrated quick step,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,27,,,London march : for the piano forte,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,28,,,March & trio : selected & arranged from the opera Amilie or The love test,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,1838,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,29,"Hews, George",American,Appleton march,,Boston,Massachusetts,United States,"42.3584300, -71.0597700",C. Bradlee,1834,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,30,"Coppock, W. R. (William R.)",American,Favorite Bristol and Jubilee marches,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,31,"Shaw, Oliver",American,Gov. Arnold's march,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,32,,,Richmond's march : for the piano forte. The caravan's march in The forty thieves. A favorite troop,,New York,New York,United States,"40.7142700, -74.0059700",William Dubois,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,33,,,Bonaparte's grand march,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,34,,,Java march,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,35,Lady of Baltimore,,Titus march,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,36,,,Birmingham March : for the piano-forte,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,37,"Barker, M. ",,Capt. Macdonald's March,,New York,New York,United States,"40.7142700, -74.0059700",E. Riley,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,38,,,Cramers Turkish march,,Boston,Massachusetts,United States,"42.3584300, -71.0597700",C. Bradlee,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,39,,,Spanish patriot's march,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,40,,,Pizarro's march,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,41,,,Kendal march. Pandean band,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,42,,,"City Guards : grand march & quick step, as performed by the brigade band",,Boston,Massachusetts,United States,"42.3584300, -71.0597700",James L. Hewitt,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,43,,,Burton's rondo,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,44,"Gildon, J. (John)",English,None so pretty,,New York,New York,United States,"40.7142700, -74.0059700",Dubois & Stodart,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,45,,,Galop : danse favorite : adoptée dans les bals de société et arrangée pour le piano forte,,New York,New York,United States,"40.7142700, -74.0059700",James L. Hewitt,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,46,"Valentine, Thomas",,O pescator : Venetian air,,New York,New York,United States,"40.7142700, -74.0059700",Dubois & Stodart,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,47,,,Light may the boat row : a favorite lesson for the piano forte,,New York,New York,United States,"40.7142700, -74.0059700",Thomas Birch,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,48,,,Village : Rondo,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,49,"Iucho, Wilhelm",German immigrant,New-York gallopade ,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,50,"Johnson, Daniel",,Carrier dove,,New York,New York,United States,"40.7142700, -74.0059700",Atwill,,1830,Songs with piano,1,1
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,51,"Linley, George",English,Morning's ruddy beam : song of the Alpine hunters,,New York,New York,United States,"40.7142700, -74.0059700",Hewitt & Jacques,,1830,Songs with piano,1,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,52,"Hewitt, John Hill",American,Mountain bugle,,Baltimore,Maryland,United States,"39.2903800, -76.6121900",George Willig,1839,1830,Songs with piano,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,53,"Malibran, Maria",Spanish,There is no home like my own,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1830,Songs with piano,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,54,"Nelson, S. (Sydney)",English,Hunter's horn is sounding,,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900","Fiot, Meignen & Co.",,1830,Songs with piano,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,55,"Clifton, William",,Sweet oh sweet are the joys : a favorite cavatina as sung by Madame Caradori Allan,,New York,New York,United States,"40.7142700, -74.0059700",Atwill,1838,1830,Songs with piano,1,1
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,56,"Bellini, Vincenzo",Italian,"Come brave with me the sea love! : the celebrated duett sung by Mrs. Watson & Mr. Plumer with the most enthusiastic applause in the favorite opera The pirate boy, performed at the New York, Philadelphia & Boston theatres",Pirata,Philadelphia,Pennsylvania,United States,"39.9523400, -75.1637900","Fiot, Meignen & Co.",1837,1830,Vocal duets with piano,1,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,57,"Rodwell, G. Herbert (George Herbert)",English,Banks of the blue Moselle,,New York,New York,United States,"40.7142700, -74.0059700",Firth & Hall,,1830,Songs with piano,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,58,"Nelson, S. (Sydney)",English,Rose of Allandale,,New York,New York,United States,"40.7142700, -74.0059700",O. Torp,,1830,Songs with piano,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,59,"Lee, Alexander",English,"Where, where is the rover",,Baltimore,Maryland,United States,"39.2903800, -76.6121900",John Cole,,1830,Songs with piano,0,0
M.J. & C.E. Goodwin,New York,"40.7142700, -74.0059700",LOC M1 .A15 v.10,60,"Peters, W. C. (William Cumming)",English immigrant,"Kind, kind and gentle is she : a favorite Scotch ballad",,New York,New York,United States,"40.7142700, -74.0059700",Hewitt & Jacques,,1830,Songs with piano,1,1
