Owner,Collection City,Collection City Lat,Collection City Long,Call Number,Position in Volume,Composer,Comp. Dates,Comp. Nationality,Title,Opera,P. City,P. State,P.Country,Publisher Lat,Publisher Long,Publisher,Date,Publication decade,Subject,Has t.p.?,Illustration?
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,13,"Waller, Sidney",,,My heart is thine : the prize ballad,,Philadelphia,Pennsylvania,United States,39.95234,-75.16379,"Fiot, Meignen & Co.",,1830,Songs with piano,0,0
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,14,"Herold, Ferdinand",1791-1833,French,Dry up your tears : Je pars demain! il faut quitter Marie,,Philadelphia,Pennsylvania,United States,39.95234,-75.16379,"Fiot, Meignen & Co.",,1830,Songs with piano,0,0
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,15,"Auber, D. F. E. (Daniel Francois Esprit)",1782-1871,French,Barcarole,Masaniello,New York,New York,United States,40.71427,-74.00597,William Bunce,,1830,Songs with piano,0,0
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,16,"Purday, Charles H. (Charles Henry)",1799-1885,English,Maid of Llanwellyn : I've no sheep on the mounain : a ballad,,New York,New York,United States,40.71427,-74.00597,Firth & Hall,,1830,Songs with piano,0,0
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,17,"Marliani, Marco Aurelio",1805-1849,Italian,"Oh! Queen of glory : the much admired prayer, sung by Miss Shirreff in the opera of The red mask or Council of three",,New York,New York,United States,40.71427,-74.00597,Dubois & Bacon,,1830,Songs with piano,0,0
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,18,"Helstig, Herr",,,My beautiful Rhine : a celebrated Swiss ballad from the opera of The spirit of the Rhine,,New York,New York,United States,40.71427,-74.00597,Atwill,,1830,Songs with piano,1,1
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,19,"Auber, D. F. E. (Daniel Francois Esprit)",1782-1871,French,Come o'er the moonlit sea : duetts,Muette de Portici,New York,New York,United States,40.71427,-74.00597,James L. Hewitt,,1830,Vocal duets with piano,1,0
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,20,"Barnett, John",1802-1890,English,My father land,,New York,New York,United States,40.71427,-74.00597,James L. Hewitt,,1830,Songs with piano,0,0
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,21,"Stockhausen, Franz",1789-1868,German,Swiss drover boy : as sung by Miss Watson at the Musical Fund Hall,,Philadelphia,Pennsylvania,United States,39.95234,-75.16379,George Willig,,1830,Songs with piano,0,0
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,22,"Lee, Alexander",1802-1851,English,"Star of my pathway, arise? : ballad",,New York,New York,United States,40.71427,-74.00597,Monson Bancroft,,1830,Songs with piano,1,1
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,23,"Horn, Charles Edward",1786-1849,English,Mermaid's cave,,New York,New York,United States,40.71427,-74.00597,Dubois & Stodart,1832,1830,Songs with piano,1,0
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,24,"Kiallmark, George",1781-1835,English,Maid of Athens,,Baltimore,Maryland,United States,39.29038,-76.61219,George Willig,,1830,Songs with piano,0,0
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,25,"Millard, Philip, Mrs.",,English,Lovely May : a ballad,,Philadelphia,Pennsylvania,United States,39.95234,-75.16379,Klemm & Brother,,1830,Songs with piano,0,0
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,26,"Lee, Alexander",1802-1851,English,"By the margin of fair Zurich's waters : the much admired song A la suisse as sung by Miss Watson at Niblo's Garden Concerts, &c. with the most enthusiastic applause",,New York,New York,United States,40.71427,-74.00597,Firth & Hall,1835,1830,Songs with piano,0,0
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,27,"Hodson, G. A. (George Alexander)",1800-1863,English,Why hast thou taught me to love thee,,New York,New York,United States,40.71427,-74.00597,E.S. Mesier,,1830,Songs with piano,0,0
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,28,"Kiallmark, George",1781-1835,English,Araby's daughter,,Philadelphia,Pennsylvania,United States,39.95234,-75.16379,John G. Klemm,,1830,Songs with piano,0,0
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,29,"Lee, Alexander",1802-1851,English,"Away, away, to the mountain's brow",,New York,New York,United States,40.71427,-74.00597,Hewitt,,1830,Songs with piano,0,0
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,30,"Barnett, John",1802-1890,English,Rose of Lucerne : the Swiss toy girl,,Philadelphia,Pennsylvania,United States,39.95234,-75.16379,John G. Klemm,,1830,Songs with piano,0,1
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,31,"Bishop, Henry R. (Henry Rowley)",1786-1855,English,Boys of Switzerland : ballad in the dramatic romance of The wandering boys,,New York,New York,United States,40.71427,-74.00597,E. Riley,,1830,Songs with piano,0,0
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,32,"Barnett, John",1802-1890,English,Joy! Joy! Joy! : the celebrated song from the Lays of the passions,,New York,New York,United States,40.71427,-74.00597,Dubois & Stodart,,1830,Songs with piano,0,0
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,33,"Kinkel, Charles",1832-1907,German immigrant,Angel of night : valse sentimentale,,New York,New York,United States,40.71427,-74.00597,J.L. Peters,,1830,Waltzes (Piano),0,0
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,34,"Moore, Thomas",1779-1852,Irish,Watchman,,Philadelphia,Pennsylvania,United States,39.95234,-75.16379,John G. Klemm,,1830,Songs with piano,0,0
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,35,"Stevenson, John",1761-1833,Irish,I'll watch for thee from my lonely bow'r,,Philadelphia,Pennsylvania,United States,39.95234,-75.16379,John G. Klemm,,1830,Songs with piano,0,0
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,36,"Stevenson, John",1761-1833,Irish,Twilight dews : a favorite song,,Philadelphia,Pennsylvania,United States,39.95234,-75.16379,John G. Klemm,,1830,Songs with piano,0,0
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,37,"Mozart, Wolfgang Amadeus",1756-1791,Austrian,Life let us cherish,,Philadelphia,Pennsylvania,United States,39.95234,-75.16379,John G. Klemm,,1830,Songs with piano,0,0
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,38,"G. F. C., Mr.",,,Campbells are comin : a popular Scotch air sung by Miss Stephens,,Philadelphia,Pennsylvania,United States,39.95234,-75.16379,John G. Klemm,,1830,Songs with piano,0,0
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,39,,,,Scots wha hae wi' Wallace bled : a favorite Scotch air,,Philadelphia,Pennsylvania,United States,39.95234,-75.16379,John G. Klemm,,1830,Songs with piano,0,0
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,40,"Bayly, Thomas Haynes",1797-1839,English,We met!,,Baltimore,Maryland,United States,39.29038,-76.61219,George Willig,,1830,Songs with piano,0,0
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,41,"Wade, J. Augustine (Joseph Augustine)",1796-1845,Irish,Meet me by moonlight : a ballad,,Philadelphia,Pennsylvania,United States,39.95234,-75.16379,John G. Klemm,,1830,Songs with piano,0,0
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,42,"Drake, James G.",1815-1850,,Pensez a? moi,,Baltimore,Maryland,United States,39.29038,-76.61219,George Willig,,1830,Songs with piano,0,0
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,43,"Mozart, Wolfgang Amadeus",1756-1791,Austrian,Much admired waltz,,Philadelphia,Pennsylvania,United States,39.95234,-75.16379,John G. Klemm,,1830,Songs with piano,0,0
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,44,"Valentine, Thomas",1790-1878,,Favorite Venetian waltz,,New York,New York,United States,40.71427,-74.00597,Dubois & Bacon,,1830,Waltzes (Piano),0,0
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,45,"Auber, D. F. E. (Daniel Francois Esprit)",1782-1871,French,"Favorite sett of quadrilles : from Auber's celebrated opera Le dieu & la bayade?re, danced by Melle. Celeste",Dieu et la Bayadere,Philadelphia,Pennsylvania,United States,39.95234,-75.16379,"Fiot, Meignen & Co.",,1830,Piano music,1,0
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,46,"Parker, Jane W.",,,Boquet : an entire new sett of cottilions,,New York,New York,United States,40.71427,-74.00597,James L. Hewitt,,1830,Piano music,1,0
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,47,"Zimmerman, Chr.",,,Silesia march,,New York,New York,United States,40.71427,-74.00597,Atwill,,1830,Marches (Piano),0,0
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,48,"Bellini, Vincenzo",1801-1835,Italian,March in Bellini's opera I puritani,Puritani,Philadelphia,Pennsylvania,United States,39.95234,-75.16379,"Fiot, Meignen & Co.",,1830,Piano music,0,0
Amelia Nance,New Orleans,29.95465,-90.07507,LOC M1 .A15 v.1,49,"Duvernoy, J. B. (Jean Baptiste)",1802-1880,French,Swiss air with variations : for the piano forte : op. 34,,New York,New York,United States,40.71427,-74.00597,Dubois & Stodart,,1830,Songs with piano,1,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,1,"Auber, D. F. E. (Daniel Francois Esprit)",1782-1871,French,"Admired sett of cotillions from the opera of La dame blanche, or The white lady",Dame blanche,New York,New York,United States,40.71427,-74.00597,E. Riley,,1830,Piano music,1,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,2,,,,Durang's hornpipe : arranged for the piano forte,,New York,New York,United States,40.71427,-74.00597,Firth & Hall,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,3,,,,Cheat : dance.,,New York,New York,United States,40.71427,-74.00597,E. Riley,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,4,,,,Money musk : a Scotch reel,,New York,New York,United States,40.71427,-74.00597,Firth & Hall,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,5,"Beethoven, Ludwig van",1770-1827,German,Bouquet : a favorite waltz,,New York,New York,United States,40.71427,-74.00597,Firth & Hall,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,6,"Blondell, William",,French immigrant,Sorriso : waltz : composed and dedicated to Mrs. Mary L. Stevens,,New York,New York,United States,40.71427,-74.00597,Firth & Hall,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,7,"Bochsa, Robert Nicolas Charles",1789-1856,French,Cracovienne,,New York,New York,United States,40.71427,-74.00597,Firth & Hall,,1830,Piano music,1,1
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,8,"Coppock, W. R. (William R.)",1805-1863,American,Grand military waltz,,New York,New York,United States,40.71427,-74.00597,Firth & Hall,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,9,,,,Favorite German serenading waltz,,New York,New York,United States,40.71427,-74.00597,William Dubois,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,10,,,,New York admired cotillions,,New York,New York,United States,40.71427,-74.00597,Firth & Hall,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,11,"Brown, Francis H. (Francis Henry)",1818-1891,American,Take your time Miss Lucy : a favorite dance,,New York,New York,United States,40.71427,-74.00597,James L. Hewitt,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,12,"O'Meara, Daniel A.",,,Celebrated one finger'd sliding waltz,,New York,New York,United States,40.71427,-74.00597,E. Riley,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,13,"Shaw, Oliver",1779-1848,American,Oakland waltz,,Providence,Rhode Island,United States,41.82399,-71.41283,Oliver Shaw,1834,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,14,,,,Remembrance of Mozart : favourite waltz as performed at the Park Theatre,,New York,New York,United States,40.71427,-74.00597,Hewitt,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,15,,,,Favorite Swiss waltz,,New York,New York,United States,40.71427,-74.00597,William Dubois,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,16,"Pratt, M.",,,Celebrated River waltz,,New York,New York,United States,40.71427,-74.00597,Firth & Hall,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,17,,,,Rossignol : a favorite waltz for the piano forte,,New York,New York,United States,40.71427,-74.00597,Dubois & Stodart,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,18,"Cooper, Samuel A.",,American,Light guard's quick step,,Boston,Massachusetts,United States,42.35843,-71.05977,H. Goodwin,1840,1830,Piano music,1,1
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,19,"Fay, Conrad",,,Wrecker's daughter,,Boston,Massachusetts,United States,42.35843,-71.05977,Henry Prentiss,1842,1830,Piano music,1,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,20,"Bellini, Vincenzo",1801-1835,Italian,Somnambula : quick step : as played by the Boston Brass Band,Sonnambula,Boston,Massachusetts,United States,42.35843,-71.05977,Oliver Ditson,1836,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,21,"Zeuner, Charles",1795-1857,German immigrant,Boston quick step,,Boston,Massachusetts,United States,42.35843,-71.05977,Oliver Ditson,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,22,"Kotzwara, Franz",1730-1791,Czech,March and quick step in the Battle of Prague,,New York,New York,United States,40.71427,-74.00597,Firth & Hall,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,23,"Hews, George",1806-1873,American,Websters quick step,,New York,New York,United States,40.71427,-74.00597,Firth & Hall,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,24,,,,Capt. Patridge's favorite quick step,,New York,New York,United States,40.71427,-74.00597,E. Riley,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,25,,,,Otis's quick step : as performed by the Boston bands,,Boston,Massachusetts,United States,42.35843,-71.05977,C. Bradlee,1831,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,26,"Holloway, John",,,Wood up : a celebrated quick step,,New York,New York,United States,40.71427,-74.00597,Firth & Hall,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,27,,,,London march : for the piano forte,,New York,New York,United States,40.71427,-74.00597,Firth & Hall,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,28,,,,March & trio : selected & arranged from the opera Amilie or The love test,,New York,New York,United States,40.71427,-74.00597,Firth & Hall,1838,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,29,"Hews, George",1806-1873,American,Appleton march,,Boston,Massachusetts,United States,42.35843,-71.05977,C. Bradlee,1834,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,30,"Coppock, W. R. (William R.)",1805-1863,American,Favorite Bristol and Jubilee marches,,New York,New York,United States,40.71427,-74.00597,Firth & Hall,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,31,"Shaw, Oliver",1779-1848,American,Gov. Arnold's march,,New York,New York,United States,40.71427,-74.00597,Firth & Hall,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,32,,,,Richmond's march : for the piano forte. The caravan's march in The forty thieves. A favorite troop,,New York,New York,United States,40.71427,-74.00597,William Dubois,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,33,,,,Bonaparte's grand march,,New York,New York,United States,40.71427,-74.00597,Firth & Hall,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,34,,,,Java march,,New York,New York,United States,40.71427,-74.00597,Firth & Hall,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,35,Lady of Baltimore,,,Titus march,,New York,New York,United States,40.71427,-74.00597,Firth & Hall,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,36,,,,Birmingham March : for the piano-forte,,New York,New York,United States,40.71427,-74.00597,Firth & Hall,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,37,"Barker, M. ",,,Capt. Macdonald's March,,New York,New York,United States,40.71427,-74.00597,E. Riley,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,38,,,,Cramers Turkish march,,Boston,Massachusetts,United States,42.35843,-71.05977,C. Bradlee,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,39,,,,Spanish patriot's march,,New York,New York,United States,40.71427,-74.00597,Firth & Hall,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,40,,,,Pizarro's march,,New York,New York,United States,40.71427,-74.00597,Firth & Hall,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,41,,,,Kendal march. Pandean band,,New York,New York,United States,40.71427,-74.00597,Firth & Hall,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,42,,,,"City Guards : grand march & quick step, as performed by the brigade band",,Boston,Massachusetts,United States,42.35843,-71.05977,James L. Hewitt,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,43,,,,Burton's rondo,,New York,New York,United States,40.71427,-74.00597,Firth & Hall,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,44,"Gildon, J. (John)",,English,None so pretty,,New York,New York,United States,40.71427,-74.00597,Dubois & Stodart,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,45,,,,Galop : danse favorite : adopte?e dans les bals de socie?te? et arrange?e pour le piano forte,,New York,New York,United States,40.71427,-74.00597,James L. Hewitt,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,46,"Valentine, Thomas",1790-1878,,O pescator : Venetian air,,New York,New York,United States,40.71427,-74.00597,Dubois & Stodart,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,47,,,,Light may the boat row : a favorite lesson for the piano forte,,New York,New York,United States,40.71427,-74.00597,Thomas Birch,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,48,,,,Village : Rondo,,New York,New York,United States,40.71427,-74.00597,Firth & Hall,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,49,"Iucho, Wilhelm",1803-1880,German immigrant,New-York gallopade ,,New York,New York,United States,40.71427,-74.00597,Firth & Hall,,1830,Piano music,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,50,"Johnson, Daniel",,,Carrier dove,,New York,New York,United States,40.71427,-74.00597,Atwill,,1830,Songs with piano,1,1
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,51,"Linley, George",1798-1865,English,Morning's ruddy beam : song of the Alpine hunters,,New York,New York,United States,40.71427,-74.00597,Hewitt & Jacques,,1830,Songs with piano,1,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,52,"Hewitt, John Hill",1801-1890,American,Mountain bugle,,Baltimore,Maryland,United States,39.29038,-76.61219,George Willig,1839,1830,Songs with piano,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,53,"Malibran, Maria",1808-1836,Spanish,There is no home like my own,,New York,New York,United States,40.71427,-74.00597,Firth & Hall,,1830,Songs with piano,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,54,"Nelson, S. (Sydney)",1800-1862,English,Hunter's horn is sounding,,Philadelphia,Pennsylvania,United States,39.95234,-75.16379,"Fiot, Meignen & Co.",,1830,Songs with piano,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,55,"Clifton, William",,,Sweet oh sweet are the joys : a favorite cavatina as sung by Madame Caradori Allan,,New York,New York,United States,40.71427,-74.00597,Atwill,1838,1830,Songs with piano,1,1
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,56,"Bellini, Vincenzo",1801-1835,Italian,"Come brave with me the sea love! : the celebrated duett sung by Mrs. Watson & Mr. Plumer with the most enthusiastic applause in the favorite opera The pirate boy, performed at the New York, Philadelphia & Boston theatres",Pirata,Philadelphia,Pennsylvania,United States,39.95234,-75.16379,"Fiot, Meignen & Co.",1837,1830,Vocal duets with piano,1,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,57,"Rodwell, G. Herbert (George Herbert)",1800-1852,English,Banks of the blue Moselle,,New York,New York,United States,40.71427,-74.00597,Firth & Hall,,1830,Songs with piano,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,58,"Nelson, S. (Sydney)",1800-1862,English,Rose of Allandale,,New York,New York,United States,40.71427,-74.00597,O. Torp,,1830,Songs with piano,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,59,"Lee, Alexander",1802-1851,English,"Where, where is the rover",,Baltimore,Maryland,United States,39.29038,-76.61219,John Cole,,1830,Songs with piano,0,0
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,60,"Peters, W. C. (William Cumming)",1805-1866,English immigrant,"Kind, kind and gentle is she : a favorite Scotch ballad",,New York,New York,United States,40.71427,-74.00597,Hewitt & Jacques,,1830,Songs with piano,1,1
M.J. & C.E. Goodwin,New York,40.71427,-74.00597,LOC M1 .A15 v.10,61,,,,Pensez a? moi,,Philadelphia,Pennsylvania,United States,39.95234,-75.16379,A. Fiot,,1830,Songs with guitar,0,0
